year,ticker,comname,fieldid,fieldname,value,valuescore
2020,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C+,0.4536834843
2020,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2020,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,9620000,
2020,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,45750000,
2020,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,5270000,
2020,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,14890000,
2021,AMZN,"AMAZON.COM, INC.",1,ESGScore,A-,0.7980020547
2021,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C,0.4137069097
2021,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2021,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,12110000,
2021,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,55360000,
2021,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,4070000,
2021,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,16180000,
2022,AMZN,"AMAZON.COM, INC.",1,ESGScore,A-,0.7869786973
2022,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C,0.4143226820
2022,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2022,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,13020000,
2022,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,49020000,
2022,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,3060000,
2022,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,16080000,
2023,AMZN,"AMAZON.COM, INC.",1,ESGScore,A-,0.8228402485
2023,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C+,0.4218367909
2023,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2023,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,14220000,
2023,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,47400000,
2023,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,2760000,
2023,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,16980000,
2024,AMZN,"AMAZON.COM, INC.",1,ESGScore,B+,0.7205051291
2024,AMZN,"AMAZON.COM, INC.",2,ESGCombinedScore,C,0.3680650645
2024,AMZN,"AMAZON.COM, INC.",89,AnalyticCO2EstimationMethod,Reported,
2024,AMZN,"AMAZON.COM, INC.",95,CO2EquivalentsEmissionDirectScope1,15130000,
2024,AMZN,"AMAZON.COM, INC.",96,CO2EquivalentsEmissionIndirectScope3,50324001,
2024,AMZN,"AMAZON.COM, INC.",97,CO2EquivalentsEmissionIndirectScope2,2800000,
2024,AMZN,"AMAZON.COM, INC.",98,CO2EquivalentsEmissionTotal,17930000,
2018,CVX,CHEVRON CORPORATION,1,ESGScore,A-,0.8058272704
2018,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,C+,0.4767772715
2018,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2018,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,68000000,
2018,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,2000000,
2018,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,70000000,
2019,CVX,CHEVRON CORPORATION,1,ESGScore,A-,0.7571415272
2019,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,B,0.5959620679
2019,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2019,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,63000000,
2019,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,1000000,
2019,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,64000000,
2020,CVX,CHEVRON CORPORATION,1,ESGScore,A,0.8352483596
2020,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,A,0.8352483596
2020,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2020,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,56000000,
2020,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,1000000,
2020,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,57000000,
2021,CVX,CHEVRON CORPORATION,1,ESGScore,A-,0.8168018972
2021,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,C+,0.4681835573
2021,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2021,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,57000000,
2021,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,2000000,
2021,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,59000000,
2022,CVX,CHEVRON CORPORATION,1,ESGScore,B,0.6594625077
2022,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,C,0.3874235615
2022,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2022,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,53000000,
2022,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,1000000,
2022,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,54000000,
2023,CVX,CHEVRON CORPORATION,1,ESGScore,B,0.6610765780
2023,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,C,0.3651536736
2023,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2023,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,52000000,
2023,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,2000000,
2023,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,54000000,
2024,CVX,CHEVRON CORPORATION,1,ESGScore,B,0.6149104706
2024,CVX,CHEVRON CORPORATION,2,ESGCombinedScore,C-,0.3317607908
2024,CVX,CHEVRON CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2024,CVX,CHEVRON CORPORATION,95,CO2EquivalentsEmissionDirectScope1,53000000,
2024,CVX,CHEVRON CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,2000000,
2024,CVX,CHEVRON CORPORATION,98,CO2EquivalentsEmissionTotal,55000000,
2018,GOOGL,ALPHABET INC.,1,ESGScore,B+,0.7014718607
2018,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.3638938251
2018,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2018,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,63500,
2018,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,12898000,
2018,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,4344700,
2018,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,4408200,
2019,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.7769208399
2019,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.4101995504
2019,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2019,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,81900,
2019,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,8950000,
2019,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,5116900,
2019,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,5198800,
2020,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.7798711702
2020,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.3941728732
2020,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2020,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,55800,
2020,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,7770000,
2020,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,5865100,
2020,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,5920900,
2021,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.7943840945
2021,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.4002040954
2021,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2021,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,64100,
2021,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,8633000,
2021,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,6576200,
2021,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,6640300,
2022,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.8182791663
2022,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.4121883637
2022,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2022,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,91200,
2022,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,9317000,
2022,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,8045400,
2022,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,8136600,
2023,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.8119492433
2023,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.4127313784
2023,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2023,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,79400,
2023,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,10794000,
2023,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,9252900,
2023,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,9332300,
2024,GOOGL,ALPHABET INC.,1,ESGScore,A-,0.8099478070
2024,GOOGL,ALPHABET INC.,2,ESGCombinedScore,C,0.4065462305
2024,GOOGL,ALPHABET INC.,89,AnalyticCO2EstimationMethod,Reported,
2024,GOOGL,ALPHABET INC.,95,CO2EquivalentsEmissionDirectScope1,73100,
2024,GOOGL,ALPHABET INC.,96,CO2EquivalentsEmissionIndirectScope3,12053000,
2024,GOOGL,ALPHABET INC.,97,CO2EquivalentsEmissionIndirectScope2,11283200,
2024,GOOGL,ALPHABET INC.,98,CO2EquivalentsEmissionTotal,11356300,
2018,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A-,0.7969188435
2018,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C+,0.4321672869
2018,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,Reported,
2018,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,83101,
2018,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,176356,
2018,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,739458,
2018,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,822559,
2019,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A,0.8373489156
2019,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C+,0.4313007204
2019,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,Reported,
2019,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,81655,
2019,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,181004,
2019,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,692299,
2019,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,773954,
2020,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A-,0.7957437337
2020,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C+,0.4841813907
2020,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,Reported,
2020,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,69570,
2020,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,36169,
2020,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,660601,
2020,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,730171,
2021,JPM,JPMORGAN CHASE & CO.,1,ESGScore,A-,0.7642919928
2021,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C+,0.4174720834
2021,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,Reported,
2021,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,84911,
2021,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,55038336,
2021,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,755514,
2021,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,840425,
2022,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7378158502
2022,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C+,0.4228294937
2022,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,Reported,
2022,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,88553,
2022,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,239856845,
2022,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,783616,
2022,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,872169,
2023,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7270950576
2023,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C,0.3840699169
2023,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,Reported,
2023,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,115294,
2023,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,194755481,
2023,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,792479,
2023,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,907773,
2024,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7119440485
2024,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C,0.3577202760
2024,JPM,JPMORGAN CHASE & CO.,89,AnalyticCO2EstimationMethod,CO2,
2024,JPM,JPMORGAN CHASE & CO.,95,CO2EquivalentsEmissionDirectScope1,100024,
2024,JPM,JPMORGAN CHASE & CO.,96,CO2EquivalentsEmissionIndirectScope3,174350000,
2024,JPM,JPMORGAN CHASE & CO.,97,CO2EquivalentsEmissionIndirectScope2,773852,
2024,JPM,JPMORGAN CHASE & CO.,98,CO2EquivalentsEmissionTotal,873876,
2025,JPM,JPMORGAN CHASE & CO.,1,ESGScore,B+,0.7033654730
2025,JPM,JPMORGAN CHASE & CO.,2,ESGCombinedScore,C,0.3533494031
2018,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9312492289
2018,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,C+,0.4963263688
2018,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2018,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,99008,
2018,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,12074987,
2018,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,2946043,
2018,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,3045051,
2019,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9285393963
2019,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,B,0.6273131764
2019,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2019,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,117956,
2019,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,11845757,
2019,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,3557518,
2019,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,3675474,
2020,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9334139062
2020,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,B-,0.5133171226
2020,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2020,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,118100,
2020,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,11796000,
2020,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,4328916,
2020,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,4447016,
2021,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9282307414
2021,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,C+,0.4851997080
2021,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2021,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,123704,
2021,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,13576000,
2021,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,5010667,
2021,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,5134371,
2022,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8905417219
2022,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,B-,0.5397830561
2022,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2022,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,139413,
2022,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,15916000,
2022,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,6381250,
2022,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,6520663,
2023,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8757698266
2023,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,B-,0.5347317602
2023,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2023,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,144960,
2023,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,16397000,
2023,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,8077403,
2023,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,8222363,
2024,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8717854875
2024,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,C+,0.4437543790
2024,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,Reported,
2024,MSFT,MICROSOFT CORPORATION,95,CO2EquivalentsEmissionDirectScope1,143510,
2024,MSFT,MICROSOFT CORPORATION,96,CO2EquivalentsEmissionIndirectScope3,15140000,
2024,MSFT,MICROSOFT CORPORATION,97,CO2EquivalentsEmissionIndirectScope2,9955368,
2024,MSFT,MICROSOFT CORPORATION,98,CO2EquivalentsEmissionTotal,10098878,
2025,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8799522789
2025,MSFT,MICROSOFT CORPORATION,2,ESGCombinedScore,A,0.8687640182
2025,MSFT,MICROSOFT CORPORATION,89,AnalyticCO2EstimationMethod,CO2,
